Trial:2	lr:0.01	Epochs:20
Epoch:0	Loss:0.8273	Accuracy:68.67
Epoch:1	Loss:0.4516	Accuracy:83.54
Epoch:2	Loss:0.3749	Accuracy:86.47
Epoch:3	Loss:0.3399	Accuracy:87.54
Epoch:4	Loss:0.3156	Accuracy:88.46
Epoch:5	Loss:0.2992	Accuracy:88.98
Epoch:6	Loss:0.2860	Accuracy:89.40
Epoch:7	Loss:0.2779	Accuracy:89.85
Epoch:8	Loss:0.2635	Accuracy:90.23
Epoch:9	Loss:0.2582	Accuracy:90.41
Epoch:10	Loss:0.2509	Accuracy:90.55
Epoch:11	Loss:0.2399	Accuracy:91.09
Epoch:12	Loss:0.2357	Accuracy:91.07
Epoch:13	Loss:0.2276	Accuracy:91.49
Epoch:14	Loss:0.2229	Accuracy:91.63
Epoch:15	Loss:0.2163	Accuracy:91.96
Epoch:16	Loss:0.2116	Accuracy:92.10
Epoch:17	Loss:0.2045	Accuracy:92.32
Epoch:18	Loss:0.1964	Accuracy:92.67
Epoch:19	Loss:0.1970	Accuracy:92.67
