Trial:3	lr:0.1	Epochs:15
Epoch:0	Loss:0.7495	Accuracy:71.36
Epoch:1	Loss:0.5214	Accuracy:80.81
Epoch:2	Loss:0.5053	Accuracy:81.42
Epoch:3	Loss:0.5117	Accuracy:81.32
Epoch:4	Loss:0.4977	Accuracy:82.10
Epoch:5	Loss:0.5209	Accuracy:81.17
Epoch:6	Loss:0.5064	Accuracy:81.86
Epoch:7	Loss:0.4976	Accuracy:82.35
Epoch:8	Loss:0.5286	Accuracy:81.31
Epoch:9	Loss:0.5238	Accuracy:81.60
Epoch:10	Loss:0.5214	Accuracy:81.68
Epoch:11	Loss:0.5378	Accuracy:81.19
Epoch:12	Loss:0.5072	Accuracy:82.33
Epoch:13	Loss:0.5334	Accuracy:81.50
Epoch:14	Loss:0.4884	Accuracy:82.75
